,Агуулах,Барааны нэр,,Зарлага | Бараа материал борлуулалт,Зарлага | Бараа материал зарлага,Зарлага | Бараа материал хөдөлгөөн,Зарлага | Бараа материалын актлалт,Зарлага | Дэлгүүрийн борлуулалт,Зарлага | Дэлгүүрийн падааны борлуулалт,Зарлага | Худалдан авалтын буцаалт,Зарлага | Үндсэн хөрөнгө рүү шилжүүлэх,Орлого | Бараа материал хөдөлгөөн,Орлого | Бараа материалын орлого,Орлого | Борлуулалтын буцаалт,Орлого | Дэлгүүрийн борлуулалтын буцаалт,Орлого | Татан авалт,Орлого | Худалдан авалт
175,PN Gold's,Zero bar Hazelnut 50g,,36,62,0,0,58,0,0,0,160,0,0,0,0,0
176,PN Gold's,Zero bar caramel 50гр,,22,0,0,0,19,0,0,0,40,0,0,0,0,0
177,PN Gold's,Zinc 60ш,,2,0,5,0,11,0,0,0,11,0,0,0,0,0
178,PN Gold's,Архыз Вита 0.5л,,0,0,0,0,0,0,0,0,0,0,0,0,0,32
179,PN Gold's,Банана 1ш,,0,0,0,0,1317,0,8,0,0,0,0,0,0,1301
180,PN Gold's,Бүхэл үрийн талхтай сэндвич,,0,0,0,0,2,0,2,0,0,0,0,0,0,4
181,PN Gold's,Елма махиста 20гр,,9,0,0,0,1,0,0,0,0,0,0,0,0,10
182,PN Gold's,Елма №10,,49,0,0,0,29,0,0,0,0,0,0,0,0,80
183,PN Gold's,Елма №2,,176,0,0,0,18,0,0,0,0,0,0,0,0,200
184,PN Gold's,Ессентуки Рашаан,,69,0,0,0,771,0,0,0,0,0,0,0,0,840
185,PN Gold's,Жигнэмэг,,0,0,0,0,6,0,0,0,0,0,0,0,0,6
186,PN Gold's,Тахиан махтай хоол,,6,0,0,0,1570,0,33,0,0,0,0,1,0,1467
187,PN Gold's,Ундаа Amino 330ml Lemon soda,,590,24,0,0,0,0,0,0,528,0,0,0,0,0
188,PN Gold's,Ундаа Amino 330ml Passion fruit,,626,91,0,0,1924,0,0,0,2254,0,0,2,0,0
189,PN Gold's,Ундаа Amino 330ml Raspberry,,97,26,0,0,451,0,0,0,760,0,0,0,0,0
190,PN Gold's,Ундаа Amino 330ml Super pear,,0,28,0,0,653,0,0,0,820,0,0,2,0,0
191,PN Gold's,Ундаа Amino 330ml Waikiki,,88,49,0,0,283,0,0,0,513,0,0,1,0,0
192,PN Gold's,Ундаа Amino 330ml Watermelon,,0,0,0,0,1,0,0,0,0,0,0,0,0,0
193,PN Gold's,Ундаа Collagen vibe 330ml Mojito,,0,5,0,0,119,0,0,0,96,0,0,0,0,0
194,PN Gold's,Ундаа Collagen vibe 330ml Passion fruit,,0,231,0,0,45,0,0,0,336,0,0,0,0,0
195,PN Gold's,Ундаа Collagen vibe 330ml Pineapple coconut,,287,144,0,0,1179,0,0,0,1656,0,0,3,0,0
196,PN Gold's,Хужирт 0.33л бөмбөлөгтэй,,15,0,0,0,1225,0,0,0,0,0,0,0,0,1240
197,PN Gold's,Хужирт 0.5л,,307,0,0,0,2582,0,0,0,0,0,0,1,0,2916
198,PN Gold's,Хужирт 0.6л бөмбөлөгтэй,,26,0,0,0,1100,0,0,0,0,0,0,0,0,1126
199,PN Gold's,Хужирт 1.5л,,181,0,0,0,2731,0,0,0,0,0,0,2,0,2916
200,PN Gold's,Үхрийн махтай хоол,,0,0,0,0,1184,0,12,0,0,0,0,0,0,1344
201,PN Gold's,Өндөг 1ш,,0,0,0,0,1674,0,55,0,0,0,0,1,0,1724
202,PN Store,After 420g,,1,6,0,0,28,0,0,0,30,0,0,2,0,0
203,PN Store,Amino Liquid currant 1л шилтэй,,1,1,12,0,21,0,8,0,18,0,0,1,0,27
204,PN Store,Amino vibe 330мл,,0,0,0,0,0,0,0,0,0,125,0,0,0,0
205,PN Store,Anuxai Shaker 500ml+150,,0,0,300,0,0,0,0,0,0,0,0,0,0,0
206,PN Store,Arthro forte 340g blackcurrent,,14,9,0,0,2,0,0,0,0,0,15,1,0,0
207,PN Store,BCAA Powder 420гр,,0,0,5,0,12,0,0,0,0,0,0,0,0,18
208,PN Store,Bedford 2,,0,3,5,0,4,0,0,0,10,0,0,0,0,0
209,PN Store,Bedford 5,,0,0,1,0,10,0,0,0,10,0,0,0,0,0
210,PN Store,Bedford 7,,0,1,0,0,1,0,0,0,7,0,0,0,0,0
211,PN Store,Bedford 8,,0,1,0,0,5,0,0,0,7,0,0,0,0,0
212,PN Store,Black Blood NOX+ 340g,,1,5,8,0,6,0,0,0,20,0,0,0,0,0
213,PN Store,Black Test 90 caps,,0,2,5,0,31,0,0,0,38,0,0,0,0,0
214,PN Store,Black blood NOX+ 20g,,7,79,131,0,94,0,0,0,295,0,0,0,0,0
215,PN Store,Cheese soup 30g,,10,10,12,0,17,0,0,0,50,0,0,0,0,0
216,PN Store,Club mate 330мл,,1674,196,0,0,12,0,0,0,1728,0,20,0,0,0
217,PN Store,Club mate 500мл,,6347,925,160,0,74,0,0,0,7280,0,301,0,0,0
218,PN Store,Collagen vibe 330мл,,356,1626,1044,0,1820,0,0,0,4656,238,189,48,0,0
219,PN Store,Crush Bar,,160,62,170,0,339,0,0,0,595,139,13,10,0,0
220,PN Store,Crush Bar - Chocolate 64g,,695,111,109,0,9,0,0,0,900,0,32,0,0,0
221,PN Store,Crush Bar - Cookiescream 64g,,673,141,108,0,12,0,0,0,936,0,36,0,0,0
222,PN Store,Crush Bar - Toffee coconut 64g,,710,145,72,0,10,0,0,0,900,0,24,0,0,0
223,PN Store,EAA Zero 350g Lemon,,47,55,17,0,43,0,0,0,150,0,5,1,0,0
224,PN Store,EAA Zero 350g blue grape,,67,45,15,0,35,0,0,0,150,0,7,0,0,0
225,PN Store,EAA Zero 350гр,,0,39,19,0,78,0,0,0,90,40,7,1,0,0
226,PN Store,Energy Gel ,,0,23,0,0,1,0,0,0,0,16,0,0,0,0
