,,,,,,,,,,,,,,,,,,,,,,,,,,Орлого | Бараа материал хөдөлгөөн,Орлого | Бараа материалын орлого,Орлого | Борлуулалтын буцаалт,Орлого | Дэлгүүрийн борлуулалтын буцаалт,Орлого | Татан авалт,Орлого | Худалдан авалт,Зарлага | Бараа материал борлуулалт,Зарлага | Бараа материал зарлага,Зарлага | Бараа материал хөдөлгөөн,Зарлага | Бараа материалын актлалт,Зарлага | Дэлгүүрийн борлуулалт,Зарлага | Дэлгүүрийн падааны борлуулалт,Зарлага | Худалдан авалтын буцаалт,Зарлага | Үндсэн хөрөнгө рүү шилжүүлэх
,Байршил,Барааны нэр,Эцсийн үлдэгдэл,,Орлого | Бараа материал хөдөлгөөн,Орлого | Бараа материалын орлого,Орлого | Борлуулалтын буцаалт,Орлого | Дэлгүүрийн борлуулалтын буцаалт,Орлого | Татан авалт,Орлого | Худалдан авалт,Зарлага | Бараа материал борлуулалт,Зарлага | Бараа материал зарлага,Зарлага | Бараа материал хөдөлгөөн,Зарлага | Бараа материалын актлалт,Зарлага | Дэлгүүрийн борлуулалт,Зарлага | Дэлгүүрийн падааны борлуулалт,Зарлага | Худалдан авалтын буцаалт,Зарлага | Үндсэн хөрөнгө рүү шилжүүлэх,Орлого нийт,Зарлага нийт,Үлдэгдэл,,,,Байршил, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
306,PN Store,Nitrox sample - Cranberry 17g,0,0,336,0,0,0,0,0,18,162,100,0,13,0,0,0,336,293,43,,,,,,,,,,,,,,,,,,
307,PN Store,Nitrox sample - Peach 17g,0,0,64,0,0,0,0,0,0,0,50,0,0,0,0,0,64,50,14,,,,,,,,,,,,,,,,,,
356,PN Store,Power casein - Chocolate 900g,0,0,137,0,1,0,0,0,9,82,7,0,39,0,0,0,138,137,1,,,,,,,,,,,,,,,,,,
357,PN Store,Oatmeal 1kg chocolate,0,0,130,0,7,0,0,0,15,65,22,0,27,0,0,0,137,129,8,,,,,,,,,,,,,,,,,,
358,PN Store,L-Carnitine 100.000 - Apple 500ml,1,1,210,0,4,0,0,0,43,120,25,0,23,0,0,0,214,211,4,,,,,,,,,,,,,,,,,,
359,PN Store,Zero bar caramel 50гр,0,0,240,0,0,0,0,0,139,30,20,0,37,0,0,0,240,226,14,,,,,,,,,,,,,,,,,,
360,PN Store,ISO Whey 500g - Vanilla,0,0,130,0,1,0,0,0,41,45,11,0,35,0,0,0,131,132,-1,,,,,,,,,,,,,,,,,,
361,PN Store,Cheese soup 30g,0,0,50,0,0,0,0,0,10,10,12,0,17,0,0,0,50,49,1,,,,,,,,,,,,,,,,,,
362,PN Store,Zero bar Banana 50g,0,0,340,0,0,0,0,0,94,140,60,0,47,0,0,0,340,341,-1,,,,,,,,,,,,,,,,,,
363,PN Store,Tomato soup 30g,0,0,50,0,0,0,0,0,5,19,6,0,18,0,0,0,50,48,2,,,,,,,,,,,,,,,,,,
364,PN Store,Multivitamin  90ш,0,0,335,0,21,1,0,0,66,89,12,0,166,0,0,0,357,333,24,,,,,,,,,,,,,,,,,,
365,PN Store,L-Carnitine powder 300g,0,0,1275,0,60,7,0,0,314,82,115,0,808,0,0,0,1342,1319,23,,,,,,,,,,,,,,,,,,
