,Кредит,Дебет,"сар, өдөр", Дүн 
188,110101 - Үндсэн данс /417035100/,310101 - Дансны өглөг,4/20/2023 0:00," 495,000.00 "
189,110101 - Үндсэн данс /417035100/,870901 - Баримтаар нотлогдохгүй байгаа зардал,4/20/2023 0:00," 40,000.00 "
190,110101 - Үндсэн данс /417035100/,870903 - Баримтаар нотлогдохгүй байгаа ханшийн зөрүүний гарз,4/20/2023 0:00," 169,280.00 "
191,110101 - Үндсэн данс /417035100/,120201 - НӨАТ - ын авлага,4/20/2023 0:00," 5,592.60 "
192,110101 - Үндсэн данс /417035100/,870901 - Баримтаар нотлогдохгүй байгаа зардал,4/20/2023 0:00," 1,650.45 "
193,110101 - Үндсэн данс /417035100/,701101 - Ашиглалтын зардал,4/20/2023 0:00," 55,925.95 "
194,110101 - Үндсэн данс /417035100/,120101 - Дансны авлага,4/20/2023 0:00," 69,220.00 "
195,110101 - Үндсэн данс /417035100/,700601 - Шуудан холбооны зардал,4/20/2023 0:00," 261,170.27 "
196,110101 - Үндсэн данс /417035100/,120201 - НӨАТ - ын авлага,4/20/2023 0:00," 26,117.03 "
197,110101 - Үндсэн данс /417035100/,870901 - Баримтаар нотлогдохгүй байгаа зардал,4/20/2023 0:00," 56,006.22 "
198,110101 - Үндсэн данс /417035100/,702701 - Банкны шимтгэлийн зардал,4/20/2023 0:00, 100.00 
199,110101 - Үндсэн данс /417035100/,120101 - Дансны авлага,4/20/2023 0:00," 96,977.80 "
200,110101 - Үндсэн данс /417035100/,702701 - Банкны шимтгэлийн зардал,4/20/2023 0:00, 200.00 
201,110101 - Үндсэн данс /417035100/,702701 - Банкны шимтгэлийн зардал,4/20/2023 0:00, 100.00 
202,110101 - Үндсэн данс /417035100/,120101 - Дансны авлага,4/20/2023 0:00," 15,000.00 "
203,110101 - Үндсэн данс /417035100/,702701 - Банкны шимтгэлийн зардал,4/20/2023 0:00, 100.00 
204,110101 - Үндсэн данс /417035100/,870901 - Баримтаар нотлогдохгүй байгаа зардал,4/20/2023 0:00," 34,985.00 "
205,110101 - Үндсэн данс /417035100/,702701 - Банкны шимтгэлийн зардал,4/20/2023 0:00, 200.00 
206,110101 - Үндсэн данс /417035100/,702701 - Банкны шимтгэлийн зардал,4/20/2023 0:00, 100.00 
207,110101 - Үндсэн данс /417035100/,120101 - Дансны авлага,4/20/2023 0:00," 132,503.00 "
208,110101 - Үндсэн данс /417035100/,702701 - Банкны шимтгэлийн зардал,4/20/2023 0:00, 200.00 
209,110101 - Үндсэн данс /417035100/,702701 - Банкны шимтгэлийн зардал,4/20/2023 0:00, 100.00 
210,110101 - Үндсэн данс /417035100/,870901 - Баримтаар нотлогдохгүй байгаа зардал,4/20/2023 0:00," 36,321.00 "
211,110101 - Үндсэн данс /417035100/,702701 - Банкны шимтгэлийн зардал,4/20/2023 0:00, 100.00 
212,110101 - Үндсэн данс /417035100/,702701 - Банкны шимтгэлийн зардал,4/20/2023 0:00, 100.00 
213,110101 - Үндсэн данс /417035100/,120601 - Ажиллагчдаас авах авлага,4/20/2023 0:00," 77,400.00 "
214,110101 - Үндсэн данс /417035100/,702701 - Банкны шимтгэлийн зардал,4/20/2023 0:00, 100.00 
215,110101 - Үндсэн данс /417035100/,702701 - Банкны шимтгэлийн зардал,4/20/2023 0:00, 100.00 
216,110101 - Үндсэн данс /417035100/,702701 - Банкны шимтгэлийн зардал,4/20/2023 0:00, 100.00 
217,110101 - Үндсэн данс /417035100/,310101 - Дансны өглөг,4/20/2023 0:00," 9,120,000.00 "
218,110101 - Үндсэн данс /417035100/,702701 - Банкны шимтгэлийн зардал,4/20/2023 0:00, 400.00 
219,110101 - Үндсэн данс /417035100/,702701 - Банкны шимтгэлийн зардал,4/20/2023 0:00, 100.00 
220,110101 - Үндсэн данс /417035100/,702701 - Банкны шимтгэлийн зардал,4/20/2023 0:00, 200.00 
221,110101 - Үндсэн данс /417035100/,702701 - Банкны шимтгэлийн зардал,4/20/2023 0:00, 100.00 
222,110101 - Үндсэн данс /417035100/,870903 - Баримтаар нотлогдохгүй байгаа ханшийн зөрүүний гарз,4/21/2023 0:00," 150,200.00 "
223,110101 - Үндсэн данс /417035100/,702701 - Банкны шимтгэлийн зардал,4/21/2023 0:00, 100.00 
224,110101 - Үндсэн данс /417035100/,340104 - Бусад урт хугацаат өр төлбөр,4/25/2023 0:00," 6,388,888.89 "
225,110101 - Үндсэн данс /417035100/,702201 - Хүүгийн зардал,4/25/2023 0:00," 227,899.55 "
226,110101 - Үндсэн данс /417035100/,870903 - Баримтаар нотлогдохгүй байгаа ханшийн зөрүүний гарз,4/26/2023 0:00," 373,200.00 "
227,110101 - Үндсэн данс /417035100/,702701 - Банкны шимтгэлийн зардал,4/26/2023 0:00, 100.00 
228,110101 - Үндсэн данс /417035100/,870901 - Баримтаар нотлогдохгүй байгаа зардал,4/26/2023 0:00," 275,250.00 "
229,110101 - Үндсэн данс /417035100/,702701 - Банкны шимтгэлийн зардал,4/26/2023 0:00, 100.00 
230,110101 - Үндсэн данс /417035100/,120601 - Ажиллагчдаас авах авлага,4/28/2023 0:00," 221,210.76 "
231,110101 - Үндсэн данс /417035100/,120101 - Дансны авлага,4/28/2023 0:00," 300,000.00 "
232,110101 - Үндсэн данс /417035100/,310201 - Цалингийн өглөг,4/28/2023 0:00," 9,123,710.78 "
233,110101 - Үндсэн данс /417035100/,870901 - Баримтаар нотлогдохгүй байгаа зардал,4/28/2023 0:00," 250,000.00 "
234,110101 - Үндсэн данс /417035100/,702701 - Банкны шимтгэлийн зардал,4/28/2023 0:00, 100.00 
235,110101 - Үндсэн данс /417035100/,870901 - Баримтаар нотлогдохгүй байгаа зардал,4/28/2023 0:00," 250,000.00 "
236,110101 - Үндсэн данс /417035100/,702701 - Банкны шимтгэлийн зардал,4/28/2023 0:00, 200.00 
237,110101 - Үндсэн данс /417035100/,702701 - Банкны шимтгэлийн зардал,4/28/2023 0:00, 100.00 
